Temp Difference (K),Thermocouple Voltage (mV)
0,0.000
10,0.130
20,0.263
30,0.398
40,0.537
50,0.677
60,0.820
70,0.966
80,1.114
90,1.263
100,1.415
110,1.569
120,1.725
130,1.882
140,2.042
150,2.203
160,2.365
170,2.529
180,2.694
190,2.860
200,3.028
210,3.196
220,3.366
230,3.536
240,3.707
250,3.879
260,4.052
270,4.225
280,4.398
290,4.572
300,4.746
310,4.920
320,5.094
330,5.268
340,5.442
350,5.616
360,5.790
370,5.963
380,6.135
390,6.307
400,6.479
410,6.649
420,6.819
430,6.988
440,7.155
450,7.322
460,7.487
470,7.652
480,7.814
490,7.975
500,8.135
